10023756,10841,广州,深圳,1579320153
10072134,10234,苏州,杭州,1579324418
10064531,10246,哈尔滨,广州,1579328031
10061994,10822,杭州,沈阳,1579327764
10071165,10239,苏州,哈尔滨,1579328212
10022563,10693,上海,深圳,1579324427
10010776,10940,大连,哈尔滨,1579319065
10026696,11075,广州,苏州,1579328415
10096534,10640,深圳,杭州,1579319696
10012967,10603,深圳,深圳,1579327658
10064982,10963,苏州,杭州,1579322468
10023767,10563,三亚,深圳,1579318768
10045484,10968,苏州,三亚,1579318609
10023438,10935,广州,三亚,1579322804
10101491,10392,哈尔滨,北京,1579319555
10045978,10398,广州,沈阳,1579327208
10045102,10391,深圳,三亚,1579321412
10023148,10756,杭州,哈尔滨,1579327645
10040362,11055,三亚,杭州,1579328257
10087744,10590,哈尔滨,深圳,1579325587
10012896,10981,上海,大连,1579322965
10060261,10907,北京,北京,1579325712
10087425,11015,上海,广州,1579322126
10016254,10308,大连,三亚,1579320110
10035812,10598,北京,杭州,1579326293
10107680,10724,北京,北京,1579319949
10059451,10524,大连,杭州,1579324585
10014927,10466,三亚,杭州,1579326487
10065861,10352,上海,杭州,1579326295
10032584,10769,三亚,杭州,1579321771
10062528,10647,沈阳,大连,1579323887
10016407,10611,大连,广州,1579320285
10055548,10980,杭州,哈尔滨,1579325374
10021086,10574,上海,广州,1579319178
10048045,10440,杭州,广州,1579327593
10047886,10379,北京,哈尔滨,1579320331
10017360,11096,上海,北京,1579320190
10062106,10299,杭州,深圳,1579318766
10061450,10320,大连,大连,1579327065
10076487,10498,沈阳,上海,1579320978
10036936,10396,杭州,大连,1579323468
10076657,10934,三亚,沈阳,1579323594
10024009,10117,三亚,沈阳,1579322669
10066750,10347,上海,北京,1579327819
10099377,10739,三亚,三亚,1579322906
10070288,10273,大连,大连,1579321905
10047301,10240,大连,三亚,1579318958
10045959,10449,深圳,哈尔滨,1579321267
10102266,10331,苏州,大连,1579320800
10087255,10286,深圳,上海,1579320724
10073988,10438,上海,上海,1579326164
10016108,11012,北京,深圳,1579323098
10027548,10263,哈尔滨,上海,1579323036
10055291,10788,北京,北京,1579323272
10066670,10771,上海,苏州,1579319804
10053760,10672,苏州,沈阳,1579322710
10027290,10148,苏州,大连,1579324517
10029453,10441,沈阳,北京,1579319985
10029194,10612,沈阳,三亚,1579324119
10100852,11010,沈阳,杭州,1579322444
10045655,10799,哈尔滨,沈阳,1579319996
10072523,11031,苏州,杭州,1579319782
